BSSE1C,se-242540,G'10',COLUMN-1, Chair No - 4
BSSE1C,se-242542,G'10',COLUMN-1, Chair No - 3
BSSE1C,se-242543,G'10',COLUMN-1, Chair No - 2
BSSE1C,se-242547,G'10',COLUMN-1, Chair No - 1
BSCS1D,cs-242277,G'10',COLUMN-2, Chair No - 8
BSCS1D,cs-242278,G'10',COLUMN-2, Chair No - 7
BSCS1D,cs-242279,G'10',COLUMN-2, Chair No - 6
BSCS1D,cs-242280,G'10',COLUMN-2, Chair No - 5
BSCS1D,cs-242281,G'10',COLUMN-2, Chair No - 4
BSCS1D,cs-242283,G'10',COLUMN-2, Chair No - 3
BSCS1D,cs-242284,G'10',COLUMN-2, Chair No - 2
BSCS1D,cs-242285,G'10',COLUMN-2, Chair No - 1
BSCS2A,cs-241136,G'10',COLUMN-3, Chair No - 8
BSCS2A,cs-241137,G'10',COLUMN-3, Chair No - 7
BSCS2A,cs-241138,G'10',COLUMN-3, Chair No - 6
BSCS2A,cs-241139,G'10',COLUMN-3, Chair No - 5
BSCS2A,cs-241141,G'10',COLUMN-3, Chair No - 4
BSCS2A,cs-241142,G'10',COLUMN-3, Chair No - 3
BSCS2A,cs-241143,G'10',COLUMN-3, Chair No - 2
BSCS2A,cs-241144,G'10',COLUMN-3, Chair No - 1
BSSE1C,se-242548,G'10',COLUMN-4, Chair No - 8
BSSE1C,se-242554,G'10',COLUMN-4, Chair No - 7
BSSE1C,se-242652,G'10',COLUMN-4, Chair No - 6
BSSE1C,se-242653,G'10',COLUMN-4, Chair No - 5
BSSE1C,se-242655,G'10',COLUMN-4, Chair No - 4
BSSE1C,se-242656,G'10',COLUMN-4, Chair No - 3
BSSE1C,se-242657,G'10',COLUMN-4, Chair No - 2
BSSE1C,se-242658,G'10',COLUMN-4, Chair No - 1
BSCS1D,cs-242286,G'10',COLUMN-5, Chair No - 8
BSCS1D,cs-242287,G'10',COLUMN-5, Chair No - 7
BSCS1D,cs-242288,G'10',COLUMN-5, Chair No - 6
BSCS1D,cs-242290,G'10',COLUMN-5, Chair No - 5
BSCS1D,cs-242309,G'10',COLUMN-5, Chair No - 4
BSCS1D,cs-242330,G'10',COLUMN-5, Chair No - 3
BSCS1D,cs-242352,G'10',COLUMN-5, Chair No - 2
BSCS1D,cs-242353,G'10',COLUMN-5, Chair No - 1
BSSE1C,se-242516,G'9',COLUMN-1, Chair No - 8
BSSE1C,se-242517,G'9',COLUMN-1, Chair No - 7
BSSE1C,se-242518,G'9',COLUMN-1, Chair No - 6
BSSE1C,se-242519,G'9',COLUMN-1, Chair No - 5
BSSE1C,se-242520,G'9',COLUMN-1, Chair No - 4
BSSE1C,se-242523,G'9',COLUMN-1, Chair No - 3
